age,gender,college_tier,branch,degree,cgpa,backlog_history,attendance_percentage,DSA_problems_solved,GitHub_repos,internships_completed,resume_score,communication_skills,aptitude_score,hackathons_participated,primary_language,placement_status,company_type
20,Male,3,AI&DS,B.Tech,6.91,0,89.2,188,3,0,92,81,65,3,Python,Placed,Service Based
22,Male,1,CSE,B.Tech,7.75,0,78,195,3,2,95,57,75,2,Java,Placed,Product Based
21,Female,2,MECH,B.Tech,7.04,0,88.1,263,4,0,79,58,94,1,C++,Placed,Service Based
22,Male,2,ECE,B.Tech,8.43,0,81.7,181,2,1,95,64,52,1,Java,Placed,Product Based
24,Female,3,CSE,B.Tech,9.01,0,82.9,206,2,2,92,40,76,2,C++,Placed,Product Based
24,Male,2,ECE,B.Tech,8.61,0,81,307,7,2,100,73,88,0,C++,Placed,Product Based
21,Female,2,MECH,B.Tech,7.58,0,83.2,236,1,1,87,58,99,1,C++,Placed,Service Based
23,Male,3,ECE,B.Tech,6.89,1,69.3,130,0,0,74,85,66,0,C++,Not Placed,Not Placed
20,Male,2,EEE,B.Tech,8.69,1,75.1,331,6,2,100,74,90,3,Python,Placed,Product Based
24,Male,3,CSE,B.Tech,8.07,1,77.2,285,4,2,100,41,100,2,C++,Placed,Product Based
22,Male,1,AI&DS,B.Tech,7.79,0,94.2,246,4,1,100,62,100,3,Python,Placed,Product Based
24,Female,3,CSE,B.Tech,8.11,0,84.5,154,1,1,100,63,83,1,Python,Placed,Product Based
23,Female,2,CSE,B.Tech,9.2,1,76.3,366,2,1,100,71,72,2,Python,Placed,Product Based
21,Male,3,CSE,B.Tech,7.32,0,73.9,150,0,0,80,78,72,2,Python,Placed,Service Based
22,Female,2,ECE,B.Tech,8.4,0,83.7,300,2,2,91,53,100,1,C++,Placed,Product Based
21,Female,2,MECH,B.Tech,8.21,0,78.5,296,2,1,84,71,100,2,C++,Placed,Product Based
24,Female,2,ECE,B.Tech,8.84,0,62.5,268,0,1,93,73,80,1,C++,Placed,Service Based
21,Female,2,AI&DS,B.Tech,8.07,1,72.1,312,1,1,86,40,79,2,C++,Placed,Product Based
24,Female,3,EEE,B.Tech,7.14,0,75.3,134,0,0,88,47,73,0,Java,Placed,Service Based
22,Female,2,AI&DS,B.Tech,7.85,0,62.8,321,4,1,88,45,100,0,C++,Placed,Product Based
23,Male,3,AI&DS,B.Tech,8.31,1,76.1,227,2,1,95,58,90,2,Java,Placed,Product Based
21,Male,3,MECH,B.Tech,7.65,0,97.3,127,0,1,84,64,77,0,C++,Placed,Product Based
23,Female,3,AI&DS,B.Tech,7.67,0,79.3,222,0,2,88,57,88,2,C++,Placed,Service Based
21,Female,1,EEE,B.Tech,7.09,0,72.7,72,1,1,73,86,71,0,Java,Placed,Service Based
22,Female,3,MECH,B.Tech,8.22,0,81.5,238,5,0,93,62,80,2,Java,Placed,Service Based
22,Female,1,IT,B.Tech,8.28,0,94.1,337,3,1,100,66,75,3,C++,Placed,Product Based
22,Male,2,ECE,B.Tech,9.71,0,90.9,219,7,2,100,49,78,0,C++,Placed,Product Based
21,Female,2,ECE,B.Tech,6.64,0,86.5,267,5,0,87,72,87,3,Java,Placed,Product Based
20,Male,3,MECH,B.Tech,6.73,1,85.7,152,3,1,91,46,56,1,Java,Not Placed,Not Placed
23,Male,2,ECE,B.Tech,8.62,0,74.7,160,1,0,81,55,76,2,Java,Placed,Service Based
22,Female,2,AI&DS,B.Tech,7.28,2,85.9,108,0,2,80,73,81,1,Python,Not Placed,Not Placed
22,Male,3,ECE,B.Tech,7.2,1,84,188,0,0,90,68,68,2,Python,Placed,Product Based
23,Male,2,EEE,B.Tech,5.94,1,77.1,113,0,0,78,60,79,2,Python,Placed,Service Based
21,Female,1,ECE,B.Tech,8.83,0,68,224,4,1,98,48,77,2,Python,Placed,Product Based
23,Female,2,MECH,B.Tech,6.26,0,92.6,0,0,0,80,58,44,0,Python,Not Placed,Not Placed
23,Male,2,CSE,B.Tech,7.32,1,88,247,0,0,95,52,82,0,Java,Placed,Service Based
24,Male,1,IT,B.Tech,9.43,0,75.5,315,7,2,96,72,88,3,C++,Placed,Product Based
23,Female,3,AI&DS,B.Tech,7.22,0,76.4,65,0,0,79,56,43,0,Java,Placed,Service Based
24,Female,3,IT,B.Tech,8.85,0,91.9,226,2,1,91,48,59,0,C++,Placed,Product Based
22,Female,3,IT,B.Tech,9.22,0,65.5,234,3,0,95,76,97,3,C++,Placed,Product Based
24,Female,2,MECH,B.Tech,8.37,0,65.5,317,5,2,98,60,83,1,Python,Placed,Product Based
21,Male,1,IT,B.Tech,7.4,0,82.5,108,2,1,93,64,67,2,Python,Placed,Product Based
24,Female,1,IT,B.Tech,6.24,0,68.3,124,0,0,97,70,75,2,C++,Placed,Service Based
23,Male,3,IT,B.Tech,7.77,1,75.2,154,4,1,100,75,79,1,Java,Not Placed,Not Placed
23,Male,2,IT,B.Tech,8.77,1,96.8,365,6,1,83,50,90,2,Java,Placed,Product Based
24,Female,2,EEE,B.Tech,7.74,0,83.7,129,3,1,100,45,58,1,Java,Placed,Product Based
22,Female,1,AI&DS,B.Tech,9.05,1,90.8,380,5,1,100,61,77,2,C++,Placed,Product Based
23,Female,1,EEE,B.Tech,7.88,0,93.8,113,1,1,91,62,71,1,C++,Placed,Service Based
22,Male,2,MECH,B.Tech,7.41,1,74.4,73,0,0,87,55,78,0,Java,Placed,Service Based
22,Male,2,AI&DS,B.Tech,7.44,0,81,194,0,1,95,64,81,3,C++,Placed,Product Based
24,Female,3,MECH,B.Tech,6.87,0,84.2,156,0,0,87,58,76,1,Java,Placed,Service Based
24,Male,2,ECE,B.Tech,6.23,0,86.5,212,0,0,90,79,75,1,Java,Placed,Service Based
20,Female,1,MECH,B.Tech,7.62,0,79.3,297,5,0,83,77,100,1,C++,Placed,Product Based
20,Female,2,CSE,B.Tech,6.56,1,100,50,0,0,82,67,35,2,Python,Not Placed,Not Placed
24,Male,3,CSE,B.Tech,7.88,1,79.1,316,1,2,79,69,69,1,Python,Placed,Product Based
24,Male,3,CSE,B.Tech,7.63,0,90.8,118,0,2,98,75,72,2,Python,Placed,Product Based
22,Male,1,CSE,B.Tech,8.24,0,78.5,352,4,0,97,65,93,1,Python,Placed,Product Based
23,Female,1,ECE,B.Tech,7.36,0,87.3,189,1,1,100,81,86,0,Java,Placed,Product Based
22,Male,2,CSE,B.Tech,6.8,0,81.3,94,3,0,87,51,56,1,Python,Placed,Product Based
22,Female,2,EEE,B.Tech,7.46,0,83.6,133,0,0,79,72,77,0,Python,Placed,Service Based
23,Male,2,IT,B.Tech,7.33,1,81,122,0,0,81,56,51,0,Python,Not Placed,Not Placed
24,Female,1,CSE,B.Tech,5.89,0,96.9,112,1,0,81,72,72,0,Java,Placed,Service Based
23,Male,3,IT,B.Tech,7.79,0,86.1,268,3,1,70,82,81,1,C++,Not Placed,Not Placed
21,Female,2,CSE,B.Tech,8.31,1,75.3,318,0,2,100,69,86,1,C++,Placed,Product Based
24,Female,1,EEE,B.Tech,8.81,0,84.3,240,3,2,94,54,100,0,Python,Placed,Product Based
24,Male,2,EEE,B.Tech,7.42,0,87.7,122,1,1,78,56,66,0,C++,Not Placed,Not Placed
